iter	Passed	Remaining
0	83	16679
1	110	10938
2	133	8745
3	158	7764
4	183	7161
5	207	6721
6	232	6401
7	257	6169
8	282	5997
9	305	5796
10	330	5676
11	354	5552
12	379	5458
13	405	5387
14	429	5297
15	452	5204
16	474	5103
17	495	5011
18	518	4939
19	544	4903
20	568	4847
21	592	4793
22	614	4730
23	641	4703
24	663	4647
25	688	4605
26	712	4565
27	735	4518
28	760	4482
29	783	4439
30	808	4406
31	828	4351
32	851	4309
33	875	4272
34	903	4259
35	930	4240
36	955	4208
37	976	4161
38	1002	4137
39	1024	4098
40	1046	4057
41	1067	4017
42	1091	3986
43	1114	3953
44	1135	3910
45	1161	3887
46	1208	3932
47	1248	3953
48	1281	3949
49	1307	3922
50	1328	3880
51	1351	3846
52	1380	3829
53	1403	3795
54	1427	3764
55	1453	3737
56	1476	3703
57	1496	3664
58	1519	3631
59	1544	3604
60	1570	3578
61	1600	3561
62	1630	3545
63	1651	3509
64	1673	3475
65	1696	3445
66	1720	3415
67	1741	3381
68	1766	3352
69	1789	3322
70	1813	3294
71	1840	3272
72	1864	3244
73	1886	3212
74	1907	3179
75	1934	3156
76	1962	3135
77	1992	3116
78	2020	3095
79	2055	3082
80	2103	3089
81	2134	3071
82	2166	3053
83	2199	3037
84	2226	3011
85	2255	2989
86	2279	2960
87	2305	2933
88	2333	2910
89	2360	2884
90	2386	2858
91	2406	2825
92	2430	2796
93	2451	2764
94	2478	2738
95	2504	2713
96	2526	2682
97	2552	2656
98	2579	2631
99	2604	2604
100	2630	2578
101	2655	2551
102	2673	2518
103	2695	2488
104	2715	2457
105	2738	2428
106	2762	2400
107	2786	2373
108	2807	2343
109	2827	2313
110	2848	2284
111	2874	2258
112	2896	2229
113	2921	2203
114	2945	2176
115	2970	2151
116	2994	2124
117	3019	2098
118	3044	2072
119	3067	2045
120	3090	2018
121	3112	1989
122	3135	1962
123	3157	1935
124	3182	1909
125	3204	1882
126	3227	1855
127	3249	1827
128	3270	1799
129	3292	1773
130	3314	1745
131	3335	1718
132	3362	1693
133	3379	1664
134	3398	1636
135	3417	1608
136	3439	1581
137	3464	1556
138	3491	1532
139	3512	1505
140	3533	1478
141	3555	1452
142	3577	1425
143	3597	1398
144	3618	1372
145	3642	1347
146	3667	1322
147	3695	1298
148	3714	1271
149	3738	1246
150	3760	1220
151	3781	1194
152	3803	1168
153	3828	1143
154	3849	1117
155	3872	1092
156	3899	1067
157	3917	1041
158	3935	1014
159	3952	988
160	3979	964
161	4004	939
162	4020	912
163	4044	887
164	4066	862
165	4090	837
166	4112	812
167	4134	787
168	4155	762
169	4177	737
170	4204	712
171	4229	688
172	4251	663
173	4269	637
174	4286	612
175	4303	586
176	4321	561
177	4337	536
178	4358	511
179	4379	486
180	4400	461
181	4429	438
182	4457	414
183	4485	390
184	4510	365
185	4533	341
186	4561	317
187	4585	292
188	4618	268
189	4641	244
190	4667	219
191	4690	195
192	4712	170
193	4732	146
194	4752	121
195	4773	97
196	4794	73
197	4819	48
198	4841	24
199	4859	0
